molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1204119,Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,active,45.0
CHEMBL1202205,Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,active,5.0
CHEMBL1202224,Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,active,752.0
CHEMBL1202225,Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,active,32.0
CHEMBL1202223,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,active,56.0
CHEMBL1202214,Br.Br.COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,active,10.0
CHEMBL22242,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,active,880.0
CHEMBL831,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,active,54.0
CHEMBL415300,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,active,34.0
CHEMBL72292,CN1CCN(C2=Nc3ccccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,active,140.0
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,active,260.0
CHEMBL81485,CNCC1CC2c3ccccc3Cc3ccccc3N2O1,intermediate,1698.24
CHEMBL70319,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,active,30.0
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,active,4.9
CHEMBL73589,CN1CCN(C2=Nc3ccccc3Sc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,active,23.0
CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,active,870.96
CHEMBL306474,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(C)(=O)=O)cc32)CC1,active,1000.0
CHEMBL313189,CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,intermediate,9549.93
CHEMBL430798,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,active,52.0
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,intermediate,7079.46
CHEMBL603,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,inactive,10000.0
CHEMBL120055,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,inactive,10000.0
CHEMBL28902,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)cc1,inactive,10000.0
CHEMBL160581,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(c4cccc5ccccc45)CC3)cc12,active,1000.0
CHEMBL31714,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3nc4cc(F)ccc4s3)c2)cc1,inactive,10000.0
CHEMBL19331,Oc1ccc2c(c1)CCN2,intermediate,1030.0
CHEMBL2303762,OC[C@H]1O[C@H](Oc2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)[C@H](O)[C@H](O)[C@H]1O,intermediate,2420.0
CHEMBL349034,Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1,active,79.0
CHEMBL164792,COc1ccccc1N1CCN(CC[C@H]2CC[C@H](Nc3ncccn3)CC2)CC1,active,9.9
CHEMBL331077,CN(C)CC1CC2c3ccccc3Cc3ccncc3N2O1,intermediate,1905.46
CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,active,870.96
CHEMBL315772,CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,active,8.71
CHEMBL331188,CN(C)CC1CC2c3cccnc3Cc3ccccc3N2O1,active,1000.0
CHEMBL553331,Cl.Cl.Cn1c(=O)c2c(ncn2CCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n(C)c1=O,active,43.0
CHEMBL305660,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,active,61.0
CHEMBL338611,Cn1c(=O)c2c(ncn2CCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)n(C)c1=O.O=C(O)/C=C/C(=O)O,active,41.0
CHEMBL558226,COc1cc(N)c(Cl)cc1C(=O)NC1C2CC3CN(C2)CC31.Cl,inactive,10000.0
